Fold,KS Statistic,P-Value,Result
0,0.0379746835443038,0.9998701745931143,similar
1,0.03164556962025317,0.999998842540163,similar
2,0.03164556962025317,0.999998842540163,similar
3,0.03164556962025317,0.999998842540163,similar
4,0.03164556962025317,0.999998842540163,similar
5,0.02531645569620253,0.9999999998480622,similar
6,0.056962025316455694,0.9607268634692782,similar
7,0.0379746835443038,0.9998701745931143,similar
8,0.0379746835443038,0.9998701745931143,similar
9,0.03164556962025317,0.999998842540163,similar
