Fold,Cosine Similarity,Result
0,0.9754748219812495,very similar
1,0.9871710555206268,very similar
2,0.9846656876453088,very similar
3,0.9826197881768474,very similar
4,0.9880507169882857,very similar
5,0.9861792690830414,very similar
6,0.9861020602029843,very similar
7,0.9918496621106834,very similar
8,0.9889647853797274,very similar
9,0.9868054056377907,very similar
