Fold,KS Statistic,P-Value,Result
0,0.12025316455696203,0.20373693205923996,similar
1,0.16455696202531644,0.027566313286318096,not similar
2,0.13291139240506328,0.12275253447494812,similar
3,0.06329113924050633,0.9110442522024013,similar
4,0.13291139240506328,0.12275253447494812,similar
5,0.05063291139240506,0.9878786244163614,similar
6,0.10126582278481013,0.39364245229755496,similar
7,0.08227848101265822,0.6603313759999961,similar
8,0.08860759493670886,0.5659828302481397,similar
9,0.12025316455696203,0.20373693205923996,similar
